name,team,link,photo,salary,draftClass,careerGP,careerMin,careerPTS,instagramHandle,followerCount,year,round,pick
JJ Redick, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/3024/jj-redick,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,13486300,"2006: Rd 1, Pk 11 (ORL)",890,25.9,13,jjredick,57467,2006,1,11
Kenrich Williams, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/3133626/kenrich-williams,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,1416852,,81,22.9,5.1,,,,,
Zion Williamson, New Orleans Pelicans,http://www.espn.com/nba/player/stats/_/id/4395628/zion-williamson,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,9757440,"2019: Rd 1, Pk 1 (NO)",19,29.7,23.6,zionwilliamson,4980915,2019,1,1
LaMarcus Aldridge, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/2983/lamarcus-aldridge,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,26000000,"2006: Rd 1, Pk 2 (CHI)",1003,34.4,19.5,aldridge_121,385501,2006,1,2
Marco Belinelli, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/3190/marco-belinelli,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,5846154,"2007: Rd 1, Pk 18 (GS)",855,22.7,9.7,mbeli21,379024,2007,1,18
DeMar DeRozan, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/3978/demar-derozan,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,27739975,"2009: Rd 1, Pk 9 (TOR)",813,34.2,20,demar_derozan,2518700,2009,1,9
Drew Eubanks, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/3914285/drew-eubanks,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,,,37,6.6,2.5,drewdatower,11587,,,
Bryn Forbes, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/2994526/bryn-forbes,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,2875000,,261,21.7,8.9,brynforbes,96762,,,
Rudy Gay, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/3005/rudy-gay,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,14500000,"2006: Rd 1, Pk 8 (HOU)",939,33.2,17.1,rudygay,774652,2006,1,8
Keldon Johnson, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/4395723/keldon-johnson,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,1950600,"2019: Rd 1, Pk 29 (SA)",9,10.2,4.6,keldonjohnson,97697,2019,1,29
Trey Lyles, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/3136196/trey-lyles,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,5500000,"2015: Rd 1, Pk 12 (UTAH)",351,18,7.4,treylyles,178899,2015,1,12
Chimezie Metu, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/3914283/chimezie-metu,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,1416852,"2018: Rd 2, Pk 49 (SA)",45,4.8,2.2,mezie,29787,2018,2,49
Patty Mills, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/4004/patty-mills,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,12428571,"2009: Rd 2, Pk 55 (POR)",668,19.4,8.7,balapat,410381,2009,2,55
Dejounte Murray, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/3907497/dejounte-murray,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,2321735,"2016: Rd 1, Pk 29 (SA)",177,19.8,7.9,dejountemurray,780799,2016,1,29
Jakob Poeltl, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/3134908/jakob-poeltl,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,3754886,"2016: Rd 1, Pk 9 (TOR)",271,16.2,5.4,jakob,74840,2016,1,9
Luka Samanic, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/4423309/luka-samanic,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,2689920,"2019: Rd 1, Pk 19 (SA)",1,12,,lukasamanic9,31548,2019,1,19
Lonnie Walker IV, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/4277890/lonnie-walker-iv,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,2689920,"2018: Rd 1, Pk 18 (SA)",70,12.6,4.9,buddah,186601,2018,1,18
Quinndary Weatherspoon, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/3907358/quinndary-weatherspoon,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,,"2019: Rd 2, Pk 49 (SA)",3,5,,iamquinn_11,26742,2019,2,49
Derrick White, San Antonio Spurs,http://www.espn.com/nba/player/stats/_/id/3078576/derrick-white,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,1948080,"2017: Rd 1, Pk 29 (SA)",145,23,9.3,dwhite921,84459,2017,1,29
DeAndre' Bembry, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/3062667/deandre-bembry,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,2603982,"2016: Rd 1, Pk 21 (ATL)",189,19.4,6.2,fearthefro95,39991,2016,1,21
Charlie Brown Jr., Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/4066508/charlie-brown-jr,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,,,10,4,2,charliebrownjroficial,394106,,,
Clint Capela, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/3102529/clint-capela,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,14896552,"2014: Rd 1, Pk 25 (HOU)",334,26,12.2,ccapela15,316940,2014,1,25
Vince Carter, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/136/vince-carter,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,1620564,"1998: Rd 1, Pk 5 (GS)",1541,30.1,16.7,vinsanity25,35732,1998,1,5
John Collins, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/3908845/john-collins,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,2686560,"2017: Rd 1, Pk 19 (ATL)",176,28.3,16.2,jcollins20_,149371,2017,1,19
Dewayne Dedmon, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/2580913/dewayne-dedmon,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,13333333,,394,18.3,6.4,d_dedmon3,53029,,,
Bruno Fernando, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/4277952/bruno-fernando,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,1400000,"2019: Rd 2, Pk 34 (PHI)",56,12.7,4.3,the_angolan_bf,53222,2019,2,34
Brandon Goodwin, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/3057198/brandon-goodwin,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,522738,,50,9.7,4.6,toughlay,26120,,,
Treveon Graham, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/2595231/treveon-graham,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,1645357,,180,16,4.2,fr8train21,978,,,
Kevin Huerter, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/4066372/kevin-huerter,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,2636280,"2018: Rd 1, Pk 19 (ATL)",131,29.1,10.8,kevin_huerter,74429,2018,1,19
De'Andre Hunter, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/4065732/deandre-hunter,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,7068360,"2019: Rd 1, Pk 4 (LAL)",63,32,12.3,drehunter,83445,2019,1,4
Damian Jones, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/3064559/damian-jones,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,2305057,"2016: Rd 1, Pk 30 (GS)",104,14.1,4.6,dameology,71062,2016,1,30
Skal Labissiere, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/3936296/skal-labissiere,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,2338847,"2016: Rd 1, Pk 28 (PHX)",148,17.5,7.2,skal_lab,94029,2016,1,28
Cam Reddish, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/4395627/cam-reddish,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,4245720,"2019: Rd 1, Pk 10 (ATL)",58,26.7,10.5,camreddish,595468,2019,1,10
Jeff Teague, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/4015/jeff-teague,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,19000000,"2009: Rd 1, Pk 19 (ATL)",771,27.5,12.6,jeffteague,120454,2009,1,19
Trae Young, Atlanta Hawks,http://www.espn.com/nba/player/stats/_/id/4277905/trae-young,https://a.espncdn.com/i/headshots/nba/players/full/3062667.png,6273000,"2018: Rd 1, Pk 5 (DAL)",141,32.8,23.6,traeyoung,2624949,2018,1,5
Dwayne Bacon, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/3907821/dwayne-bacon,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,1618520,"2017: Rd 2, Pk 40 (NO)",135,16,5.3,dbacon,262151,2017,2,40
Nicolas Batum, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/3416/nicolas-batum,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,25565217,"2008: Rd 1, Pk 25 (HOU)",789,31.3,11.6,nicbatum88,238289,2008,1,25
Bismack Biyombo, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/6427/bismack-biyombo,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,17000000,"2011: Rd 1, Pk 7 (SAC)",636,20.2,5.1,bismackbiyombo,125582,2011,1,7
Miles Bridges, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/4066383/miles-bridges,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,3755400,"2018: Rd 1, Pk 12 (LAC)",145,25.5,9.9,milesbridges,331459,2018,1,12
Joe Chealey, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/3058269/joe-chealey,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,,,5,8.2,0.8,joe_chealey,2987,,,
Devonte' Graham, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/3133601/devonte-graham,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,1416852,"2018: Rd 2, Pk 34 (ATL)",109,26.5,12.5,dtaegraham,224427,2018,2,34
Willy Hernangomez, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/2999409/willy-hernangomez,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,1676735,"2015: Rd 2, Pk 35 (PHI)",209,14.4,6.9,willyhernangomez,336815,2015,2,35
Caleb Martin, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/3138160/caleb-martin,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,898310,,18,17.6,6.2,caleb_martin10,24076,,,
Cody Martin, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/3138161/cody-martin,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,1173310,"2019: Rd 2, Pk 36 (CHA)",48,18.8,5,cody_martin15,23347,2019,2,36
Jalen McDaniels, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/4066731/jalen-mcdaniels,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,898310,"2019: Rd 2, Pk 52 (CHA)",16,18.3,5.6,jalenmcdaniels,9578,2019,2,52
Malik Monk, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/4066262/malik-monk,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,4028400,"2017: Rd 1, Pk 11 (CHA)",191,17.2,8.6,ahmad_monk,417476,2017,1,11
Terry Rozier, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/3074752/terry-rozier,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,19894737,"2015: Rd 1, Pk 16 (BOS)",335,22.7,9.6,gmb_elchum3,578324,2015,1,16
Kobi Simmons, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/4066335/kobi-simmons,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,,,33,19.5,5.9,kobi_simmons2,99504,,,
Ray Spalding, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/3908806/ray-spalding,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,,"2018: Rd 2, Pk 56 (PHI)",14,10.6,3.9,,,2018,2,56
PJ Washington, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/4278078/pj-washington,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,3831840,"2019: Rd 1, Pk 12 (CHA)",58,30.3,12.2,pj_washington,182845,2019,1,12
Cody Zeller, Charlotte Hornets,http://www.espn.com/nba/player/stats/_/id/2579258/cody-zeller,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,14471910,"2013: Rd 1, Pk 4 (CHA)",419,22.9,8.6,codyzeller,34499,2013,1,4
Bam Adebayo, Miami Heat,http://www.espn.com/nba/player/stats/_/id/4066261/bam-adebayo,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,3454080,"2017: Rd 1, Pk 14 (MIA)",216,25.5,10.5,bam1of1,371438,2017,1,14
Jimmy Butler, Miami Heat,http://www.espn.com/nba/player/stats/_/id/6430/jimmy-butler,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,32742000,"2011: Rd 1, Pk 30 (CHI)",577,33.1,17,jimmybutler,4917427,2011,1,30
Jae Crowder, Miami Heat,http://www.espn.com/nba/player/stats/_/id/6581/jae-crowder,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,7815533,"2012: Rd 2, Pk 34 (CLE)",601,24.7,9.5,bossmann99,416363,2012,2,34
Goran Dragic, Miami Heat,http://www.espn.com/nba/player/stats/_/id/3423/goran-dragic,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,19217900,"2008: Rd 2, Pk 45 (SA)",812,28,13.9,the_1_dragon,357554,2008,2,45
Udonis Haslem, Miami Heat,http://www.espn.com/nba/player/stats/_/id/2184/udonis-haslem,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,1620564,,857,25.1,7.6,ud40,541171,,,
Tyler Herro, Miami Heat,http://www.espn.com/nba/player/stats/_/id/4395725/tyler-herro,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,3640200,"2019: Rd 1, Pk 13 (MIA)",47,27.2,12.9,nolimitherro,848863,2019,1,13
Solomon Hill, Miami Heat,http://www.espn.com/nba/player/stats/_/id/2488958/solomon-hill,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,12758781,"2013: Rd 1, Pk 23 (IND)",359,22,5.8,solohill,34245,2013,1,23
Andre Iguodala, Miami Heat,http://www.espn.com/nba/player/stats/_/id/2386/andre-iguodala,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,17185185,"2004: Rd 1, Pk 9 (PHI)",1122,33.2,12,andre,1870485,2004,1,9
Derrick Jones Jr., Miami Heat,http://www.espn.com/nba/player/stats/_/id/3936099/derrick-jones-jr,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,1645357,,163,19.6,6.8,therea1djones,409126,,,
Meyers Leonard, Miami Heat,http://www.espn.com/nba/player/stats/_/id/6605/meyers-leonard,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,11286516,"2012: Rd 1, Pk 11 (POR)",442,16,5.6,meyersleonard,282363,2012,1,11
Kendrick Nunn, Miami Heat,http://www.espn.com/nba/player/stats/_/id/3056247/kendrick-nunn,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,1416852,,62,29.8,15.6,nunnbetter_,219991,,,
KZ Okpala, Miami Heat,http://www.espn.com/nba/player/stats/_/id/4278521/kz-okpala,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,898310,"2019: Rd 2, Pk 32 (PHX)",5,5.2,1.4,kzokpala,16592,2019,2,32
Kelly Olynyk, Miami Heat,http://www.espn.com/nba/player/stats/_/id/2489663/kelly-olynyk,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,12667885,"2013: Rd 1, Pk 13 (DAL)",492,21.2,9.6,kellyolynyk,169016,2013,1,13
Duncan Robinson, Miami Heat,http://www.espn.com/nba/player/stats/_/id/3157465/duncan-robinson,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,1416852,,80,26.4,11.4,d_bo20,93956,,,
Chris Silva, Miami Heat,http://www.espn.com/nba/player/stats/_/id/3923253/chris-silva,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,466918,,41,7.5,2.9,correiaysilva,44708,,,
Gabe Vincent, Miami Heat,http://www.espn.com/nba/player/stats/_/id/3137259/gabe-vincent,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,,,6,7,2,iamgabevincent2,9071,,,
Al-Farouq Aminu, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/4248/al-farouq-aminu,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,9258000,"2010: Rd 1, Pk 8 (LAC)",688,25.1,7.6,chiefhasarrived,82565,2010,1,8
D.J. Augustin, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/3415/dj-augustin,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,7250000,"2008: Rd 1, Pk 9 (CHA)",856,24.1,9.9,djaugustin,49133,2008,1,9
Mo Bamba, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/4277919/mo-bamba,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,5697600,"2018: Rd 1, Pk 6 (ORL)",107,15.3,5.8,therealmobamba,852596,2018,1,6
Khem Birch, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/2578240/khem-birch,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,3000000,,132,15.1,4.3,khembirch,12854,,,
Michael Carter-Williams, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/2596108/michael-carter-williams,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,1620564,"2013: Rd 1, Pk 11 (PHI)",357,25.3,10.4,mcarterwilliams,333178,2013,1,11
Gary Clark, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/3132042/gary-clark,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,,,86,12.4,3,garyclarkjr,408412,,,
James Ennis III, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/2579321/james-ennis-iii,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,1882867,"2013: Rd 2, Pk 50 (ATL)",339,20,6.4,biggame11,122510,2013,2,50
Evan Fournier, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/6588/evan-fournier,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,17150000,"2012: Rd 1, Pk 20 (DEN)",518,28.4,14.1,evanfournier10,164488,2012,1,20
Melvin Frazier Jr., Orlando Magic,http://www.espn.com/nba/player/stats/_/id/3913546/melvin-frazier-jr,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,1416852,"2018: Rd 2, Pk 35 (ORL)",25,3.8,1.3,melvinjrr,23943,2018,2,35
Markelle Fultz, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/4066636/markelle-fultz,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,9745200,"2017: Rd 1, Pk 1 (PHI)",97,25.7,10.6,markellefultz,2672057,2017,1,1
Aaron Gordon, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/3064290/aaron-gordon,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,19863636,"2014: Rd 1, Pk 4 (ORL)",399,28.6,12.7,aarongordon,1225451,2014,1,4
Jonathan Isaac, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/4065654/jonathan-isaac,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,5806440,"2017: Rd 1, Pk 6 (ORL)",134,26,9.3,jonisaac_01,94153,2017,1,6
Wes Iwundu, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/3074797/wes-iwundu,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,1618420,"2017: Rd 2, Pk 33 (ORL)",175,17.5,4.6,and1ref_,36250,2017,2,33
BJ Johnson, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/3059280/bj-johnson,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,,,15,6.3,2.4,bean.iii,12090,,,
Vic Law, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/3136746/vic-law,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,,,5,1.8,,terrence,363190,,,
Terrence Ross, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/6619/terrence-ross,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,12500000,"2012: Rd 1, Pk 8 (TOR)",555,24.6,11,3tross1,935,2012,1,8
Nikola Vucevic, Orlando Magic,http://www.espn.com/nba/player/stats/_/id/6478/nikola-vucevic,https://a.espncdn.com/i/headshots/nba/players/full/4248.png,28000000,"2011: Rd 1, Pk 16 (PHI)",590,30.3,16,nikola9vucevic,2175,2011,1,16
Bradley Beal, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/6580/bradley-beal,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,27093019,"2012: Rd 1, Pk 3 (WSH)",545,34.6,21,bradbeal3,1099306,2012,1,3
Davis Bertans, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/6426/davis-bertans,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,7000000,"2011: Rd 2, Pk 42 (IND)",274,18.6,8,dbertans_42,82683,2011,2,42
Isaac Bonga, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/4348697/isaac-bonga,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,1416842,"2018: Rd 2, Pk 39 (PHI)",80,14.3,3.6,izzy_b99,44384,2018,2,39
Troy Brown Jr., Washington Wizards,http://www.espn.com/nba/player/stats/_/id/4278508/troy-brown-jr,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,3219480,"2018: Rd 1, Pk 15 (WSH)",113,19.9,7.5,troybrown.jr,51800,2018,1,15
Thomas Bryant, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/3934723/thomas-bryant,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,8000000,"2017: Rd 2, Pk 42 (UTAH)",125,19.8,9.9,nolimittb,79852,2017,2,42
Rui Hachimura, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/4066648/rui-hachimura,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,4469160,"2019: Rd 1, Pk 9 (WSH)",41,29.7,13.4,rui_8mura,397115,2019,1,9
Ian Mahinmi, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/2774/ian-mahinmi,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,15450051,"2005: Rd 1, Pk 28 (SA)",618,16.8,5.2,ianou76,52381,2005,1,28
Garrison Mathews, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/3913180/garrison-mathews,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,,,18,12.6,5.4,garrison_mathews24,4668,,,
Shabazz Napier, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/2530780/shabazz-napier,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,1845301,"2014: Rd 1, Pk 24 (CHA)",340,17.3,7,shabazznap13r,218393,2014,1,24
Anzejs Pasecniks, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/3893059/anzejs-pasecniks,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,482144,"2017: Rd 1, Pk 25 (ORL)",24,16.9,6,anzejspasecniks,9843,2017,1,25
Gary Payton II, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/3134903/gary-payton-ii,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,1052909,,61,12.6,3.5,gary.payton.20,326675,,,
Jerome Robinson, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/3943606/jerome-robinson,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,3567720,"2018: Rd 1, Pk 13 (LAC)",88,12.1,3.6,j_rob12,34442,2018,1,13
Admiral Schofield, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/3918423/admiral-schofield,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,1000000,"2019: Rd 2, Pk 42 (PHI)",27,10.9,3.1,uncle_scho,88975,2019,2,42
Ish Smith, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/4305/ish-smith,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,6000000,,602,20.1,7.7,ishsmith5,42715,,,
Moritz Wagner, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/3150844/moritz-wagner,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,2063520,"2018: Rd 1, Pk 25 (LAL)",80,14.4,7,moritz_weasley,195053,2018,1,25
John Wall, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/4237/john-wall,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,38199000,"2010: Rd 1, Pk 1 (WSH)",573,35.9,19,johnwall,4384952,2010,1,1
Johnathan Williams, Washington Wizards,http://www.espn.com/nba/player/stats/_/id/3064528/johnathan-williams,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,,,35,14.5,5.5,iam_j3,31151,,,
Will Barton, Denver Nuggets,http://www.espn.com/nba/player/stats/_/id/6579/will-barton,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,12776786,"2012: Rd 2, Pk 40 (POR)",496,24.4,11.1,willthethrillb5,110221,2012,2,40
Keita Bates-Diop, Denver Nuggets,http://www.espn.com/nba/player/stats/_/id/3136779/keita-bates-diop,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,1416852,"2018: Rd 2, Pk 48 (MIN)",69,16.9,5.9,keitabd,40991,2018,2,48
Vlatko Cancar, Denver Nuggets,http://www.espn.com/nba/player/stats/_/id/4230557/vlatko-cancar,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,898310,"2017: Rd 2, Pk 49 (DEN)",14,3.2,1.2,draftexpress,154759,2017,2,49
Torrey Craig, Denver Nuggets,http://www.espn.com/nba/player/stats/_/id/2528693/torrey-craig,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,2000000,,164,18.3,5.1,tcraig3_,55233,,,
Troy Daniels, Denver Nuggets,http://www.espn.com/nba/player/stats/_/id/2489530/troy-daniels,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,384541,,334,14.9,6.6,troydaniels30,164346,,,
PJ Dozier, Denver Nuggets,http://www.espn.com/nba/player/stats/_/id/3923250/pj-dozier,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,,,29,9.9,3.7,dozier_kid,42996,,,
Jerami Grant, Denver Nuggets,http://www.espn.com/nba/player/stats/_/id/2991070/jerami-grant,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,9346153,"2014: Rd 2, Pk 39 (PHI)",447,24.4,9.2,jeramigrant,145626,2014,2,39
Gary Harris, Denver Nuggets,http://www.espn.com/nba/player/stats/_/id/2999547/gary-harris,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,17839286,"2014: Rd 1, Pk 19 (CHI)",368,29,12.1,thats_g_,156007,2014,1,19
Nikola Jokic, Denver Nuggets,http://www.espn.com/nba/player/stats/_/id/3112335/nikola-jokic,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,27504630,"2014: Rd 2, Pk 41 (DEN)",373,29,16.9,nikolajokicofficial,54573,2014,2,41
Paul Millsap, Denver Nuggets,http://www.espn.com/nba/player/stats/_/id/3015/paul-millsap,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,30350000,"2006: Rd 2, Pk 47 (UTAH)",989,29.1,14,paulmillsap4,237789,2006,2,47
