,text,created_at,retweet_count,favorite_count,is_retweet,word,china_virus,enlargen
168,I was criticized by the Democrats when I closed the Country down to China many weeks ahead of what almost everyone recommended. Saved many lives. Dems were working the Impeachment Hoax. They didn’t have a clue! Now they are fear mongering. Be calm &amp; vigilant!,3/2/20 12:55,36366,160145,FALSE,China,0,0
169,RT @TwitterMoments: President Trump and VP Mike Pence provided further updates on the coronavirus outbreak including travel advisories for…,3/2/20 12:31,4609,0,TRUE,coronavirus,0,0
170,A Poll in today’s New York Post says that 77% of “U.S. adults have confidence in their government’s ability to handle the Coronavirus (Number One) compared to other health threats.” 64% for Zika 58% for Ebola. Others way down on list. Our professionals are doing a great job!,3/1/20 20:17,23042,99929,FALSE,Coronavirus,0,0
171,I will be having a 1:30 P.M. Press Conference at the White House to discuss the latest CoronaVirus developments. Thank you!,2/29/20 17:02,21282,118643,FALSE,CoronaVirus,0,0
172,So the Coronavirus which started in China and spread to various countries throughout the world but very slowly in the U.S. because President Trump closed our border and ended flights VERY EARLY is now being blamed by the Do Nothing Democrats to be the fault of “Trump”.,2/28/20 5:05,34970,159391,FALSE,Coronavirus,0,0
173,“Diagnosis positive: @CNN is infected with Trump Derangement Syndrome. I’m calling out CNN for irresponsibly politicizing what should be a unifying battle against a virus that doesn’t choose sides.” @trish_regan @FoxNews  Like I say they are Fake News!,2/28/20 3:41,24486,89551,FALSE,virus,0,0
174,Congratulations and thank you to our great Vice President &amp; all of the many professionals doing such a fine job at CDC &amp; all other agencies on the Coronavirus situation. Only a very small number in U.S. &amp; China numbers look to be going down. All countries working well together!,2/28/20 2:39,21032,98797,FALSE,Coronavirus,0,0
175,“Anti-Trump Network @CNN doing whatever it can to stoke a national Coronavirus panic. The far left Network pretty much ignoring anyone who they interview who doesn’t blame President Trump.” @trish_regan @FoxNews Media refuses to discuss the great job our professionals are doing!,2/28/20 1:53,21949,79496,FALSE,Coronavirus,0,0
176,RT @realDonaldTrump: CDC and my Administration are doing a GREAT job of handling Coronavirus including the very early closing of our borde…,2/26/20 7:22,25437,0,TRUE,Coronavirus,0,0
177,RT @realDonaldTrump: ....Democrats talking point is that we are doing badly. If the virus disappeared tomorrow they would say we did a rea…,2/26/20 7:22,15951,0,TRUE,virus,0,0
178,“U.S. acted on the Coronavirus very very quickly.” Gordon Chang  @IngrahamAngle,2/26/20 7:19,11378,54817,FALSE,Coronavirus,0,0
179,RT @LouDobbs: Controlling the Pandemic: Dr. Anthony Fauci says travel restrictions from China puts America a step ahead of Coronavirus outb…,2/26/20 6:49,4629,0,TRUE,China,0,0
180,RT @LouDobbs: Constraining the Pandemic: @SecAzar praises @POTUS’ historically aggressive efforts to control the coronavirus in the U.S. #A…,2/26/20 6:46,4364,0,TRUE,coronavirus,0,0
181,....Democrats talking point is that we are doing badly. If the virus disappeared tomorrow they would say we did a really poor and even incompetent job. Not fair but it is what it is. So far by the way we have not had one death. Let’s keep it that way!,2/26/20 2:29,15930,67601,FALSE,virus,0,0
182,CDC and my Administration are doing a GREAT job of handling Coronavirus including the very early closing of our borders to certain areas of the world. It was opposed by the Dems “too soon” but turned out to be the correct decision. No matter how well we do however the.....,2/26/20 2:29,25415,109363,FALSE,Coronavirus,0,0
183,The Coronavirus is very much under control in the USA. We are in contact with everyone and all relevant countries. CDC &amp; World Health have been working hard and very smart. Stock Market starting to look very good to me!,2/24/20 21:42,26995,138245,FALSE,Coronavirus,0,0
187,....he will be successful especially as the weather starts to warm &amp; the virus hopefully becomes weaker and then gone. Great discipline is taking place in China as President Xi strongly leads what will be a very successful operation. We are working closely with China to help!,2/7/20 10:31,9392,51978,FALSE,virus,0,0
189,RT @realDonaldTrump: Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S. all in good recovery.,1/31/20 14:35,22971,0,TRUE,China,0,0
190,Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S. all in good recovery.,1/30/20 22:04,22918,138150,FALSE,China,0,0
191,Just received a briefing on the Coronavirus in China from all of our GREAT agencies who are also working closely with China. We will continue to monitor the ongoing developments. We have the best experts anywhere in the world and they are on top of it 24/7! https://t.co/rrtF1Stk78,1/30/20 0:06,17266,74051,FALSE,Coronavirus,0,0
192,RT @OANN: Johnson &amp; Johnson to create coronavirus vaccine https://t.co/3vFiufKaeV #OANN https://t.co/L4U8K7FRRb,1/28/20 19:11,6008,0,TRUE,coronavirus,0,0
193,RT @SenateForeign: Today I was briefed by leading global health experts about the outbreak of a novel coronavirus in China. We learned that…,1/28/20 3:42,3941,0,TRUE,coronavirus,0,0
194,We are in very close communication with China concerning the virus. Very few cases reported in USA but strongly on watch. We have offered China and President Xi any help that is necessary. Our experts are extraordinary!,1/27/20 14:56,23243,122736,FALSE,China,0,0
195,China has been working very hard to contain the Coronavirus. The United States greatly appreciates their efforts and transparency. It will all work out well. In particular on behalf of the American People I want to thank President Xi!,1/24/20 21:18,22967,124909,FALSE,China,0,1
